c_as,total_n,total_m,total_bw,b_n,b_m,b_bw
19062,4998.0,4998.0,17310.0,1866.0,1866.0,4408.0
3713,4999.0,4999.0,14878.0,4833.0,4833.0,6730.0
20493,4999.0,4999.0,19620.0,1571.0,1571.0,4948.0
265854,4999.0,4999.0,24150.0,4603.0,4603.0,13614.0
198876,4995.0,4995.0,21120.0,2235.0,2235.0,6851.0
53461,4995.0,4995.0,17527.0,1925.0,1925.0,4658.0
134886,4998.0,4998.0,21874.0,2294.0,2294.0,7409.0
206650,4998.0,4998.0,19709.0,2517.0,2517.0,6099.0
42202,5000.0,5000.0,19251.0,1309.0,1309.0,4164.0
15752,4999.0,4999.0,16386.0,4999.0,4999.0,7379.0
19909,4996.0,4996.0,17659.0,2927.0,2927.0,6509.0
55250,4998.0,4998.0,17831.0,1571.0,1571.0,4103.0
58742,4998.0,4998.0,21692.0,1822.0,1822.0,5958.0
22976,4998.0,4998.0,15753.0,3719.0,3719.0,5487.0
137414,4995.0,4995.0,21382.0,1684.0,1684.0,5568.0
199806,4999.0,4999.0,18924.0,3689.0,3689.0,8388.0
22910,4997.0,4997.0,16580.0,2519.0,2519.0,5274.0
61753,4994.0,4994.0,22181.0,2209.0,2209.0,7153.0
26463,4997.0,4997.0,16823.0,4956.0,4956.0,7703.0
58529,4999.0,4999.0,21752.0,2246.0,2246.0,7276.0
57658,4999.0,4999.0,16760.0,2677.0,2677.0,6031.0
60156,4995.0,4995.0,25079.0,1966.0,1966.0,8290.0
44785,4994.0,4994.0,21507.0,2392.0,2392.0,7583.0
132988,4998.0,4998.0,22011.0,2353.0,2353.0,7744.0
50075,4998.0,4998.0,15549.0,4998.0,4998.0,6919.0
135092,5000.0,5000.0,22821.0,2756.0,2756.0,8776.0
20349,4998.0,4998.0,16367.0,3319.0,3319.0,5494.0
37201,5000.0,5000.0,17214.0,2485.0,2485.0,5523.0
46190,4997.0,4997.0,18244.0,3226.0,3226.0,7480.0
267198,4997.0,4997.0,21426.0,4781.0,4781.0,13214.0
32604,4999.0,4999.0,17491.0,2475.0,2475.0,5666.0
203953,4996.0,4996.0,17590.0,4821.0,4821.0,10138.0
7627,4999.0,4999.0,15044.0,1511.0,1511.0,3309.0
13734,4997.0,4997.0,16391.0,4997.0,4997.0,7816.0
201973,4998.0,4998.0,15642.0,1308.0,1308.0,3364.0
21451,4997.0,4997.0,17467.0,1875.0,1875.0,4789.0
32728,4997.0,4997.0,17203.0,2135.0,2135.0,4946.0
16597,4999.0,4999.0,19403.0,2240.0,2240.0,6586.0
47278,4999.0,4999.0,18125.0,1234.0,1234.0,3738.0
21443,4995.0,4995.0,17435.0,3532.0,3532.0,7875.0
24436,4997.0,4997.0,18605.0,2752.0,2752.0,7052.0
28231,5000.0,5000.0,22627.0,2705.0,2705.0,8645.0
34826,4998.0,4998.0,22513.0,4051.0,4051.0,12741.0
25714,4997.0,4997.0,15756.0,4997.0,4997.0,7253.0
133966,4998.0,4998.0,19788.0,1978.0,1978.0,5362.0
32581,4998.0,4998.0,15946.0,4998.0,4998.0,7039.0
267097,4997.0,4997.0,22110.0,2113.0,2113.0,6859.0
52146,4996.0,4996.0,16101.0,1847.0,1847.0,4146.0
15299,4997.0,4997.0,17970.0,2678.0,2678.0,5984.0
47294,4996.0,4996.0,17205.0,4091.0,4091.0,8806.0
50601,4999.0,4999.0,19105.0,2027.0,2027.0,4567.0
137421,4997.0,4997.0,19168.0,2999.0,2999.0,6899.0
196877,4998.0,4998.0,18102.0,2324.0,2324.0,5380.0
33753,4996.0,4996.0,16193.0,2653.0,2653.0,5238.0
131466,4998.0,4998.0,16936.0,1811.0,1811.0,4257.0
40064,5000.0,5000.0,15126.0,2516.0,2516.0,4334.0
56906,4999.0,4999.0,19579.0,2344.0,2344.0,5383.0
268459,4999.0,4999.0,22979.0,1098.0,1098.0,3702.0
50732,4997.0,4997.0,20294.0,1905.0,1905.0,5975.0
45501,4999.0,4999.0,17118.0,3126.0,3126.0,6774.0
55104,4995.0,4995.0,14679.0,1882.0,1882.0,3900.0
7033,4994.0,4994.0,16619.0,2051.0,2051.0,4838.0
32347,4998.0,4998.0,19439.0,2119.0,2119.0,6395.0
58343,3520.0,3520.0,14737.0,2.0,2.0,8.0
31124,4999.0,4999.0,17875.0,1978.0,1978.0,3885.0
196846,4999.0,4999.0,22629.0,2688.0,2688.0,8181.0
263760,4998.0,4998.0,21396.0,3793.0,3793.0,9023.0
22899,4998.0,4998.0,18581.0,2646.0,2646.0,6687.0
14533,4995.0,4995.0,17285.0,4424.0,4424.0,9350.0
262876,4998.0,4998.0,17213.0,2182.0,2182.0,4958.0
32287,4995.0,4995.0,14571.0,4995.0,4995.0,6362.0
52356,4999.0,4999.0,22740.0,2832.0,2832.0,6274.0
55117,4999.0,4999.0,16617.0,2198.0,2198.0,4723.0
51965,4996.0,4996.0,14242.0,4965.0,4965.0,6323.0
136090,4998.0,4998.0,19238.0,3283.0,3283.0,8547.0
35947,4995.0,4995.0,17363.0,3236.0,3236.0,7040.0
44701,4998.0,4998.0,16207.0,2399.0,2399.0,5382.0
18165,4999.0,4999.0,16733.0,3724.0,3724.0,5425.0
206179,4997.0,4997.0,17262.0,2346.0,2346.0,5670.0
6026,4998.0,4998.0,30178.0,2948.0,2948.0,13113.0
29092,4999.0,4999.0,22709.0,2828.0,2828.0,8750.0
197347,4997.0,4997.0,15986.0,4997.0,4997.0,7176.0
210058,4999.0,4999.0,18301.0,2617.0,2617.0,5717.0
47293,4999.0,4999.0,18841.0,1672.0,1672.0,5053.0
207237,4998.0,4998.0,17741.0,986.0,986.0,2958.0
49047,4996.0,4996.0,18123.0,2134.0,2134.0,5368.0
201287,4996.0,4996.0,14531.0,1955.0,1955.0,4023.0
49184,4998.0,4998.0,15175.0,1892.0,1892.0,4120.0
46985,4998.0,4998.0,24746.0,2797.0,2797.0,9677.0
54449,4997.0,4997.0,15390.0,4997.0,4997.0,6929.0
394572,4999.0,4999.0,27119.0,2320.0,2320.0,9822.0
54353,4997.0,4997.0,16505.0,2544.0,2544.0,5337.0
